Ordre;Butterworth;Bessel;;Tchebychev r = 0.5 dB;;Tchebychev r = 1 dB;
;Qk;wk/wc;Qk;wk/wr;Qk;wk/wr;Qk
1;-;1,0000;-;2,8628;-;1,9652;-
2;0,7071;1,2723;0,5774;1,2313;0,8637;1,0500;0,9565
3;-;1,3225;-;0,6265;-;0,4942;-
;1,0000;1,4474;0,6910;1,0689;1,7062;0,9971;2,0177
4;0,5412;1,4310;0,5219;0,5970;0,7051;0,5286;0,7845
;1,3066;1,6043;0,8055;1,0313;2,9406;0,9932;3,5590
5;-;1,5015;-;0,3623;-;0,2895;-
;0,6180;1,5555;0,5635;0,6905;1,1778;0,6552;1,3988
;1,6180;1,7545;0,9165;1,0177;4,5450;0,9941;5,5564
6;0,5176;1,6030;0,5103;0,3962;0,6836;0,3531;0,7609
;0,7071;1,6882;0,6112;0,7681;1,8104;0,7468;2,1980
;1,9319;1,9037;1,0233;1,0114;6,5128;0,9954;8,0037
7;-;1,6840;-;0,2562;-;0,2054;-
;0,5550;1,7160;0,5324;0,5039;1,0916;0,4801;1,2969
;0,8019;1,8221;0,6608;0,8227;2,5755;0,8084;3,1559
;2,2470;2,0491;1,1263;1,0080;8,8418;0,9963;10,8987
8;0,5098;1,7772;0,5060;0,2967;0,6766;0,2651;0,7530
;0,6013;1,8308;0,5596;0,5989;1,6107;0,5828;1,9565
;0,8999;1,9518;0,7109;0,8610;3,4657;0,8506;4,2661
;2,5629;2,1872;1,2257;1,0059;11,5308;0,9971;14,2405
9;-;1,8570;-;0,1984;-;0,1593;-
;0,5321;1,8788;0,5197;0,3954;1,0664;0,3773;1,2600
;0,6527;1,9483;0,5895;0,6727;2,2131;0,6622;2,7129
;1,0000;2,0808;0,7606;0,8885;4,4780;0,8806;5,5266
;2,8794;2,3228;1,3219;1,0046;14,5793;0,9976;18,0286
10;0,5062;1,9412;0,5039;0,2372;0,6734;0,2121;0,7495
;0,5612;1,9790;0,5376;0,4878;1,5347;0,4761;1,8645
;0,7071;2,0606;0,6205;0,7293;2,8913;0,7215;3,5605
;1,1013;2,2021;0,8098;0,9087;5,6114;0,9025;6,9367
;3,1962;2,4487;1,4153;1,0037;17,9871;0,9980;22,2630
